,project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
3065,9,X240,P.S. 555 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,9456.0,0.0,DSF: 0000777203,True
3066,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,TERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,Scope,Complete,09/18/2014,02/06/2015,02/06/2015,586154,270151.0,254098.0,"DSF: 0000800334, 0000842000, 0000844751, 0000844752, 0000844753",False
3067,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,TERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,Design,Complete,07/29/2016,01/03/2017,05/15/2017,2327215,1334162.0,850588.0,"DSF: 0000800334, 0000842000, 0000844751, 0000844752, 0000844753",False
3068,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,TERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,Construction,In-Progress,07/24/2017,12/09/2021,,42073721,37858025.0,106840.0,"DSF: 0000800334, 0000842000, 0000844751, 0000844752, 0000844753",False
3069,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,TERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,"CM, F&E",In-Progress,07/24/2017,12/09/2021,,2961572,153724.0,153507.0,"DSF: 0000800334, 0000842000, 0000844751, 0000844752, 0000844753",False
3070,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/13/2017,01/12/2018,10/25/2017,5723,2898.0,2898.0,DSF: 0000867075,False
3071,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/25/2017,04/25/2018,,20985,20985.0,11595.0,DSF: 0000867075,False
3072,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,222248,222248.0,167.0,DSF: 0000867075,False
3073,9,X400,BRONX INTERNATIONAL - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,105303,105303.0,2022.0,DSF: 0000867075,False
3074,9,X400,MORRIS COLLAB HS TECH & HUMAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,03/07/2016,07/06/2016,06/10/2016,0,19212.0,19212.0,DSF: 0000822348,False
3075,9,X400,MORRIS COLLAB HS TECH & HUMAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,06/17/2016,11/02/2016,10/21/2016,90000,86348.0,86342.0,DSF: 0000822348,False
3076,9,X400,MORRIS COLLAB HS TECH & HUMAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,1320000,1320000.0,36216.0,DSF: 0000822348,False
3077,9,X400,MORRIS COLLAB HS TECH & HUMAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,90000,90000.0,36718.0,DSF: 0000822348,False
3078,9,X400,HIGH SCHOOL FOR EXCELLENCE - X,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,08/30/2017,53000,52602.0,52602.0,DSF: 0000844673,False
3079,9,X400,HIGH SCHOOL FOR EXCELLENCE - X,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,08/30/2017,75000,74438.0,74438.0,DSF: 0000845142,False
3080,9,X410,HS OF BUSINESS - BRONX,SCA CIP,ATHLETIC FIELD RETAINING WALL,Scope,Complete,01/26/2016,05/26/2016,11/16/2016,18300,42964.0,41628.0,DSF: 0000864012,True
3081,9,X410,HS OF BUSINESS - BRONX,SCA CIP,ATHLETIC FIELD RETAINING WALL,Design,Complete,01/24/2017,06/01/2017,06/23/2017,73200,70055.0,51189.0,DSF: 0000864012,False
3082,9,X410,HS OF BUSINESS - BRONX,SCA CIP,ATHLETIC FIELD RETAINING WALL,Construction,In-Progress,11/13/2017,11/12/2018,,1372500,1243304.0,60224.0,DSF: 0000864012,False
3083,9,X410,HS OF BUSINESS - BRONX,SCA CIP,ATHLETIC FIELD RETAINING WALL,"CM, F&E",In-Progress,11/13/2017,11/12/2018,,85400,34267.0,34267.0,DSF: 0000864012,False
3084,9,X410,HS OF BUSINESS - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,04/21/2016,08/19/2016,12/28/2016,15334,15033.0,15033.0,DSF: 0000843855,False
3085,9,X410,HS OF BUSINESS - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,12/28/2016,06/28/2017,03/08/2017,56224,60346.0,60346.0,DSF: 0000843855,False
3086,9,X410,HS OF BUSINESS - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,07/24/2017,06/08/2018,,595465,529239.0,147194.0,DSF: 0000843855,False
3087,9,X410,HS OF BUSINESS - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,07/24/2017,06/08/2018,,321210,231184.0,51022.0,DSF: 0000843855,False
3088,9,X410,HS OF BUSINESS - BRONX,SCA CIP,PARAPETS/WINDOWS/EXTERIOR MASONRY,Scope,In-Progress,12/18/2017,05/04/2018,,381244,381244.0,0.0,"DSF: 0000886604, 0000886605, 0000886606",True
3089,9,X410,HS OF BUSINESS - BRONX,SCA CIP,PARAPETS/WINDOWS/EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,1524972,1524972.0,0.0,"DSF: 0000886604, 0000886605, 0000886606",False
3090,9,X410,HS OF BUSINESS - BRONX,SCA CIP,PARAPETS/WINDOWS/EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,28593227,28593227.0,0.0,"DSF: 0000886604, 0000886605, 0000886606",False
3091,9,X410,HS OF BUSINESS - BRONX,SCA CIP,PARAPETS/WINDOWS/EXTERIOR MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,1779134,1779134.0,0.0,"DSF: 0000886604, 0000886605, 0000886606",False
3092,9,X410,BRONX HIGH SCHOOL FOR MEDICAL,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/26/2017,01/25/2018,,50000,49625.0,49625.0,DSF: 0000844622,True
3093,9,X410,BRONX HIGH SCHOOL FOR MEDICAL,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/26/2017,01/25/2018,,75000,74436.0,74436.0,DSF: 0000845132,True
3094,9,X411,HS OF BUSINESS - BRONX,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000867211,True
3095,9,X411,HS OF BUSINESS - BRONX,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,72000,72000.0,0.0,DSF: 0000867211,False
3096,9,X411,HS OF BUSINESS - BRONX,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,1056000,1056000.0,0.0,DSF: 0000867211,False
3097,9,X411,HS OF BUSINESS - BRONX,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,"CM, F&E",PNS,PNS,PNS,PNS,72000,72000.0,0.0,DSF: 0000867211,False
3098,9,X862,MOTT HALL CHARTER SCHOOL,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,04/11/2017,07/11/2017,05/25/2017,3534,884.0,884.0,DSF: 0000867019,False
3099,9,X862,MOTT HALL CHARTER SCHOOL,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,07/12/2017,12/13/2017,10/06/2017,12957,3732.0,3599.0,DSF: 0000867019,False
3100,9,X862,MOTT HALL CHARTER SCHOOL,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,137227,137227.0,78.0,DSF: 0000867019,False
3101,9,X862,MOTT HALL CHARTER SCHOOL,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,31804,31804.0,545.0,DSF: 0000867019,False
3102,9,X970,MOTT HALL BRONX HS - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,17625.0,0.0,DSF: 0000777214,True
3103,10,X003,P.S. 3 - BRONX,SCA CIP,HVAC CONTROLS/VENTILATION,Scope,Complete,05/12/2014,10/10/2014,10/01/2014,80820,73092.0,73092.0,"DSF: 0000793656, 0000816873",False
3104,10,X003,P.S. 3 - BRONX,SCA CIP,HVAC CONTROLS/VENTILATION,Design,Complete,11/18/2014,04/22/2015,07/24/2015,323280,499999.0,268824.0,"DSF: 0000793656, 0000816873",False
3105,10,X003,P.S. 3 - BRONX,SCA CIP,HVAC CONTROLS/VENTILATION,Construction,In-Progress,06/12/2017,12/03/2018,,6061500,5479401.0,299861.0,"DSF: 0000793656, 0000816873",False
3106,10,X003,P.S. 3 - BRONX,SCA CIP,HVAC CONTROLS/VENTILATION,"CM, F&E",In-Progress,06/12/2017,12/03/2018,,377160,89078.0,88153.0,"DSF: 0000793656, 0000816873",False
3107,10,X003,P.S. 3 - BRONX,SCA CIP,DTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,Scope,Complete,06/02/2014,10/16/2014,01/15/2015,65691,56983.0,56361.0,"DSF: 0000793663, 0000816860, 0000816867",False
3108,10,X003,P.S. 3 - BRONX,SCA CIP,DTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,Design,Complete,04/29/2015,09/29/2015,10/07/2015,251895,254341.0,213293.0,"DSF: 0000793663, 0000816860, 0000816867",False
3109,10,X003,P.S. 3 - BRONX,SCA CIP,DTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,Construction,In-Progress,07/18/2017,01/08/2019,,3747582,3361669.0,372921.0,"DSF: 0000793663, 0000816860, 0000816867",False
3110,10,X003,P.S. 3 - BRONX,SCA CIP,DTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,"CM, F&E",In-Progress,07/18/2017,01/08/2019,,447851,89581.0,88973.0,"DSF: 0000793663, 0000816860, 0000816867",False
3111,10,X003,P.S. 3 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,26072.0,0.0,DSF: 0000777175,True
3112,10,X003,P.S. 3 - BRONX,DOE - Skilled Trades,DOMESTIC WATER HEATER REPLACEMENT,Construction,In-Progress,04/20/2017,DOES,,DOES,52272.0,0.0,DSF: 0000866186,True
3113,10,X007,P.S. 7 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,06/14/2017,08/14/2017,08/10/2017,0,1635.0,1635.0,DSF: 0000822734,False
3114,10,X007,P.S. 7 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,Complete,08/11/2017,11/16/2017,10/25/2017,12000,5023.0,5023.0,DSF: 0000822734,False
3115,10,X007,P.S. 7 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,176000,176000.0,5493.0,DSF: 0000822734,False
3116,10,X007,P.S. 7 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000.0,3318.0,DSF: 0000822734,False
3117,10,X008,P.S. 8 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,12/23/2015,04/26/2016,02/08/2016,0,14339.0,14339.0,DSF: 0000822735,False
3118,10,X008,P.S. 8 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,Complete,02/17/2016,07/18/2016,05/19/2016,25997,61283.0,59863.0,DSF: 0000822735,True
3119,10,X008,P.S. 8 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,Complete,03/01/2017,11/25/2017,11/10/2017,381294,200078.0,74801.0,DSF: 0000822735,False
3120,10,X008,P.S. 8 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",Complete,03/01/2017,11/25/2017,11/10/2017,25997,25897.0,25355.0,DSF: 0000822735,False
3121,10,X008,P.S. 8 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,09/20/2017,50000,49625.0,49625.0,DSF: 0000844651,False
3122,10,X008,P.S. 8 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,09/20/2017,100000,99248.0,99248.0,DSF: 0000845048,False
3123,10,X009,P.S. 9 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,Complete,12/04/2013,05/07/2014,02/04/2014,111868,95763.0,95763.0,"DSF: 0000752356, 0000752357",False
3124,10,X009,P.S. 9 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,Complete,02/07/2014,07/10/2014,07/25/2014,438314,411892.0,398377.0,"DSF: 0000752356, 0000752357",False
3125,10,X009,P.S. 9 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Construction,In-Progress,11/19/2015,05/11/2017,,7396385,7149044.0,4377217.0,"DSF: 0000752356, 0000752357",False
3126,10,X009,P.S. 9 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,11/19/2015,05/11/2017,,641116,902840.0,878382.0,"DSF: 0000752356, 0000752357",False
3127,10,X009,P.S. 9 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/14/2017,07/14/2017,08/30/2017,76250,75678.0,75678.0,DSF: 0000845570,False
3128,10,X015,P.S.15 - BRONX,SCA CIP,WATER PENETRATION,Scope,Complete,12/05/2014,04/23/2015,12/21/2015,29010,41667.0,40256.0,DSF: 0000843985,False
3129,10,X015,P.S.15 - BRONX,SCA CIP,WATER PENETRATION,Design,Complete,03/07/2016,08/04/2016,01/26/2017,106370,80475.0,71807.0,DSF: 0000843985,False
3130,10,X015,P.S.15 - BRONX,SCA CIP,WATER PENETRATION,Construction,In-Progress,04/24/2017,01/18/2018,,1126555,985858.0,266430.0,DSF: 0000843985,False
3131,10,X015,P.S.15 - BRONX,SCA CIP,WATER PENETRATION,"CM, F&E",In-Progress,04/24/2017,01/18/2018,,261090,52695.0,52695.0,DSF: 0000843985,False
3132,10,X015,P.S.15 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,22988.0,0.0,DSF: 0000777176,True
3133,10,X023,P.S. 23 - BRONX,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,01/06/2017,04/07/2017,03/02/2017,0,10101.0,10101.0,DSF: 0000844935,False
3134,10,X023,P.S. 23 - BRONX,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,03/02/2017,07/14/2017,05/15/2017,28500,62940.0,29744.0,DSF: 0000844935,False
3135,10,X023,P.S. 23 - BRONX,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,06/23/2017,06/22/2018,,418000,307250.0,53998.0,DSF: 0000844935,False
3136,10,X023,P.S. 23 - BRONX,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",In-Progress,06/23/2017,06/22/2018,,28500,28348.0,7535.0,DSF: 0000844935,False
3137,10,X024,P.S. 24 - BRONX,SCA CIP,C OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,Scope,Complete,01/06/2016,01/27/2017,10/07/2016,117946,96403.0,90534.0,"DSF: 0000798382, 0000799754, 0000843694, 0000843978",False
3138,10,X024,P.S. 24 - BRONX,SCA CIP,C OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,Design,Complete,10/19/2016,03/24/2017,04/26/2017,461943,277227.0,275565.0,"DSF: 0000798382, 0000799754, 0000843694, 0000843978",False
3139,10,X024,P.S. 24 - BRONX,SCA CIP,C OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,Construction,PNS,PNS,PNS,PNS,7778237,7778237.0,74107.0,"DSF: 0000798382, 0000799754, 0000843694, 0000843978",False
3140,10,X024,P.S. 24 - BRONX,SCA CIP,C OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,"CM, F&E",PNS,PNS,PNS,PNS,678339,678339.0,69811.0,"DSF: 0000798382, 0000799754, 0000843694, 0000843978",False
3141,10,X024,P.S. 24 - BRONX,SCA IEH,IEH PO18-STAIRCASE LANDING ABOVE GYM,Construction,Complete,08/30/2017,IEH,11/25/2017,IEH,24400.0,4892.0,DSF: 0000048460,False
3142,10,X024,P.S. 24 - BRONX,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,In-Progress,04/18/2016,DOES,,DOES,2886774.0,2738626.0,DSF: 0000843870,False
3143,10,X026,P.S. 396 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000867336,False
3144,10,X026,P.S. 396 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,7500.0,0.0,DSF: 0000867336,False
3145,10,X026,P.S. 396 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,110000.0,0.0,DSF: 0000867336,False
3146,10,X026,P.S. 396 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500.0,0.0,DSF: 0000867336,False
3147,10,X026,I.S. 390 - BRONX,SCA IEH,IEH PO18-1ST FLOOR CORRIDOR,Construction,Complete,04/24/2017,IEH,07/06/2017,IEH,28351.0,1954.0,DSF: 0000046378,False
3148,10,X026,I.S. 390 - BRONX,SCA IEH,IEH PO18-CAFETERIA,Construction,Complete,07/25/2017,IEH,08/23/2017,IEH,113005.0,3152.0,DSF: 0000047825,False
3149,10,X026,I.S. 390 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,14754.0,0.0,DSF: 0000777193,True
3150,10,X026,I.S. 390 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,150000,150000.0,0.0,DSF: 0000800474,False
3151,10,X026,I.S. 390 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,1713.0,DSF: 0000866059,False
3152,10,X032,P.S. 32 - BRONX,SCA CIP,EXTERIOR MASONRY/WINDOWS/PARAPETS,Scope,Complete,09/04/2015,01/26/2016,12/23/2015,94294,94217.0,94217.0,"DSF: 0000839282, 0000844014, 0000844015",False
3153,10,X032,P.S. 32 - BRONX,SCA CIP,EXTERIOR MASONRY/WINDOWS/PARAPETS,Design,Complete,03/14/2016,08/11/2016,07/25/2016,376703,451658.0,349047.0,"DSF: 0000839282, 0000844014, 0000844015",False
3154,10,X032,P.S. 32 - BRONX,SCA CIP,EXTERIOR MASONRY/WINDOWS/PARAPETS,Construction,In-Progress,02/13/2017,08/06/2018,,7021197,6365771.0,2063054.0,"DSF: 0000839282, 0000844014, 0000844015",False
3155,10,X032,P.S. 32 - BRONX,SCA CIP,EXTERIOR MASONRY/WINDOWS/PARAPETS,"CM, F&E",In-Progress,02/13/2017,08/06/2018,,446117,125335.0,120679.0,"DSF: 0000839282, 0000844014, 0000844015",False
3156,10,X032,P.S. 32 - BRONX,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,09/18/2017,01/22/2018,11/15/2017,0,1689.0,1689.0,DSF: 0000844990,False
3157,10,X032,P.S. 32 - BRONX,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,11/15/2017,05/14/2018,,25050,23361.0,3975.0,DSF: 0000844990,False
3158,10,X032,P.S. 32 - BRONX,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,367400,367400.0,0.0,DSF: 0000844990,False
3159,10,X032,P.S. 32 - BRONX,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,74399,49770.0,421.0,DSF: 0000844990,False
3160,10,X032,P.S. 32 - BRONX,SCA IEH,"IEH PO18-RMS 404A,406,409,310,308,304,301A,301",Construction,Complete,07/06/2017,IEH,08/04/2017,IEH,203220.0,3918.0,DSF: 0000047487,False
3161,10,X032,P.S. 32 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,02/10/2012,DOEL,12/12/2016,DOEL,31912.0,31912.0,DSF:,False
3162,10,X032,P.S. 32 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,09/22/2017,DOEL,,DOEL,800.0,0.0,DSF:,True
3163,10,X033,P.S. 33 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,Complete,07/11/2013,12/12/2013,08/12/2013,72435,91945.0,91945.0,"DSF: 0000752358, 0000752359",False
3164,10,X033,P.S. 33 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,Complete,08/22/2013,01/28/2014,12/17/2013,289740,302136.0,301930.0,"DSF: 0000752358, 0000752359",False
3165,10,X033,P.S. 33 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Construction,In-Progress,06/25/2014,12/16/2015,,5432626,5254679.0,4930506.0,"DSF: 0000752358, 0000752359",False
3166,10,X033,P.S. 33 - BRONX,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,06/25/2014,12/16/2015,,338030,471052.0,452343.0,"DSF: 0000752358, 0000752359",False
3167,10,X033,P.S. 33 - BRONX,SCA IEH,IEH PO18-RM 104,Construction,Complete,10/19/2017,IEH,11/23/2017,IEH,33157.0,3566.0,DSF: 0000049025,False
3168,10,X033,P.S. 33 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,06/28/2014,DOEL,12/14/2016,DOEL,22488.0,22488.0,DSF:,False
3169,10,X033,P.S. 33 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,09/22/2017,DOEL,,DOEL,800.0,0.0,DSF:,True
3170,10,X033,P.S. 33 - BRONX,DOE- RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,07/01/2017,DOER,,250000,250000.0,238840.0,DSF: 0000822723,False
3171,10,X034,X188 SPED - BRONX,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEM,Purch & Install,Complete,07/01/2017,06/30/2018,07/19/2017,DIIX,271256.0,271256.0,DSF: 0000867092,False
3172,10,X037,P.S. 37 - BRONX,SCA CIP,FLOOD ELIMINATION,Scope,In-Progress,12/18/2017,05/04/2018,,17542,17542.0,0.0,DSF: 0000883946,True
3173,10,X037,P.S. 37 - BRONX,SCA CIP,FLOOD ELIMINATION,Design,PNS,PNS,PNS,PNS,64321,64321.0,0.0,DSF: 0000883946,False
3174,10,X037,P.S. 37 - BRONX,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,681220,681220.0,0.0,DSF: 0000883946,False
3175,10,X037,P.S. 37 - BRONX,SCA CIP,FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,157879,157879.0,0.0,DSF: 0000883946,False
3176,10,X037,P.S. 37 - BRONX,DOE - Skilled Trades,WATER HEATER REPLACEMENT,Construction,In-Progress,02/08/2017,DOES,,DOES,51838.0,0.0,DSF: 0000861317,True
3177,10,X045,I.S. 45 - BRONX,SCA IEH,IEH PO18-STAIRWAY F FROM BASEMENT TO 4TH FLR,Construction,Complete,11/21/2016,IEH,08/20/2017,IEH,142183.0,8825.0,DSF: 0000044247,False
3178,10,X045,I.S. 45 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,552.0,DSF: 0000866061,False
3179,10,X046,P.S. 46 - BRONX,SCA Capacity,ADDITION,Scope,Complete,02/26/2015,07/28/2015,08/28/2015,2111950,1385273.0,1374474.0,DSF: 0000798175,False
3180,10,X046,P.S. 46 - BRONX,SCA Capacity,ADDITION,Design,Complete,08/31/2015,02/26/2016,07/14/2016,6758240,4029100.0,2574699.0,DSF: 0000798175,False
3181,10,X046,P.S. 46 - BRONX,SCA Capacity,ADDITION,Construction,In-Progress,01/03/2017,06/25/2020,,94784316,85874917.0,12202787.0,DSF: 0000798175,False
3182,10,X046,P.S. 46 - BRONX,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,01/03/2017,06/25/2020,,13347524,5330356.0,863063.0,DSF: 0000798175,False
3183,10,X046,P.S. 46 - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,08/04/2014,12/19/2014,12/19/2014,148872,234167.0,231131.0,"DSF: 0000794342, 0000794344, 0000794345, 0000794346",False
3184,2,M183,P.S. 183 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,528000,528000.0,0.0,DSF: 0000867385,False
3185,10,X046,P.S. 46 - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,07/13/2015,12/14/2015,06/28/2016,582183,319020.0,310097.0,"DSF: 0000794342, 0000794344, 0000794345, 0000794346",False
3186,2,M167,I.S. 167 - MANHATTAN,SCA CIP,FACADE DAMAGE/SITE WORK/FLOOD/PARAPET/WINDOWS/ROOF,Construction,In-Progress,11/19/2015,05/11/2017,,8145807,11032884.0,7398329.0,"DSF: 0000024953, 0000786448, 0000786449, 0000786456, 0000799887, 0000853820",False
3187,2,M167,I.S. 167 - MANHATTAN,SCA CIP,FACADE DAMAGE/SITE WORK/FLOOD/PARAPET/WINDOWS/ROOF,"CM, F&E",In-Progress,11/19/2015,05/11/2017,,971898,893966.0,754170.0,"DSF: 0000024953, 0000786448, 0000786449, 0000786456, 0000799887, 0000853820",False
3188,2,M167,I.S. 167 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866394,True
3189,2,M167,I.S. 167 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000866394,False
