project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
K102,P.S. 102 - BROOKLYN,SCA IEH,"IEH PO18-RM 207,128 NEW BUILDING 1ST FL",Construction,2017-08-31,,,10322.0,1622.0,DSF: 0000048489,False,brooklyn,,,
K102,P.S. 102 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-08-30,,,170000.0,742.0,DSF: 0000865961,False,brooklyn,,,
K104,P.S. 104 - BROOKLYN,SCA CIP,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,Construction,2016-12-02,2019-08-18,11890834.0,11240414.0,2547349.0,"DSF: 0000712695, 0000802628, 0000802630, 0000802631",False,brooklyn,79.0,9343485.0,989.0
K104,P.S. 104 - BROOKLYN,SCA CIP,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,"CM, F&E",2016-12-02,2019-08-18,1010017.0,222436.0,218763.0,"DSF: 0000712695, 0000802628, 0000802630, 0000802631",False,brooklyn,78.0,791254.0,989.0
K104,P.S. 104 - BROOKLYN,DOE- RESOA,FY17 RESO A LIBRARY UPGRADE,Construction,2017-07-28,,150000.0,60910.0,60910.0,DSF: 0000844302,False,brooklyn,59.0,89090.0,
K105,P.S. 105 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/ROOFS,Construction,2017-08-21,2019-02-11,7371220.0,6688903.0,49258.0,"DSF: 0000779335, 0000779337, 0000779340",False,brooklyn,99.0,7321962.0,539.0
K105,P.S. 105 - BROOKLYN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/ROOFS,"CM, F&E",2017-08-21,2019-02-11,693055.0,119102.0,118909.0,"DSF: 0000779335, 0000779337, 0000779340",False,brooklyn,83.0,574146.0,539.0
K105,P.S. 105 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,375452.0,0.0,DSF: 0000776730,True,brooklyn,,,190.0
K112,P.S. 112 - BROOKLYN,SCA CIP,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,Construction,2017-06-15,2018-08-08,1776278.0,1422243.0,72548.0,DSF: 0000844158,False,brooklyn,96.0,1703730.0,419.0
K112,P.S. 112 - BROOKLYN,SCA CIP,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,"CM, F&E",2017-06-15,2018-08-08,110524.0,80632.0,78989.0,DSF: 0000844158,False,brooklyn,28.999999999999996,31535.0,419.0
K127,P.S. 127 - BROOKLYN,SCA Capacity,ADDITION,Design,2017-07-14,2018-02-22,5270100.0,5270100.0,592479.0,DSF: 0000798189,False,brooklyn,89.0,4677621.0,223.0
K127,P.S. 127 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Design,2017-02-03,2017-07-06,219932.0,272083.0,178408.0,"DSF: 0000802991, 0000825427, 0000870064",True,brooklyn,19.0,41524.0,153.0
K127,P.S. 127 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,Design,2017-09-06,2018-03-22,460921.0,460921.0,17146.0,"DSF: 0000779662, 0000798424",False,brooklyn,96.0,443775.0,197.0
K127,P.S. 127 - BROOKLYN,SCA CIP,PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK,Design,2017-09-29,2018-03-22,47576.0,47576.0,7379.0,DSF: 0000798189,True,brooklyn,84.0,40197.0,174.0
K127,P.S. 127 - BROOKLYN,SCA IEH,"IEH PO18-RMS 207,206,205",Construction,2017-08-14,,,61096.0,5400.0,DSF: 0000048170,False,brooklyn,,,
K127,P.S. 127 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,244236.0,0.0,DSF: 0000776748,True,brooklyn,,,190.0
K160,P.S. 160 - BROOKLYN,SCA IEH,IEH PO18-ROOM B-3,Construction,2016-12-14,,,6677.0,177.0,DSF: 0000044485,False,brooklyn,,,
K160,P.S. 160 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,292442.0,0.0,DSF: 0000776774,True,brooklyn,,,190.0
K163,P.S. 748 - BROOKLYN,SCA IEH,IEH PO18-RM 308,Construction,2017-08-30,,,5100.0,0.0,DSF: 0000048455,True,brooklyn,,,
K164,P.S. 164 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/CLIMATE CTRL/PARAPETS,Construction,2017-08-14,2019-11-06,7474859.0,6799332.0,53614.0,"DSF: 0000780173, 0000825915, 0000825919, 0000844157",False,brooklyn,99.0,7421245.0,814.0
K164,P.S. 164 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/CLIMATE CTRL/PARAPETS,"CM, F&E",2017-08-14,2019-11-06,727957.0,94304.0,94304.0,"DSF: 0000780173, 0000825915, 0000825919, 0000844157",False,brooklyn,87.0,633653.0,814.0
K164,P.S. 164 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,2017-11-15,,,500.0,0.0,DSF:,True,brooklyn,,,
K164,K077 SPED - BROOKLYN,DOE- RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Construction,2016-12-12,,200000.0,56808.0,56808.0,DSF: 0000822285,False,brooklyn,72.0,143192.0,
K170,P.S. 170 - BROOKLYN,SCA CIP,CRACKED EXTERIOR MASONRY,Construction,2017-08-22,2018-11-14,2755167.0,2540720.0,19981.0,DSF: 0000780265,False,brooklyn,99.0,2735186.0,449.0
K170,P.S. 170 - BROOKLYN,SCA CIP,CRACKED EXTERIOR MASONRY,"CM, F&E",2017-08-22,2018-11-14,171433.0,179388.0,179264.0,DSF: 0000780265,False,brooklyn,-5.0,-7831.0,449.0
K170,P.S. 170 - BROOKLYN,SCA IEH,"IEH PO18-CLASSROOMS 308, 201, 206",Construction,2016-09-09,,,36459.0,2911.0,DSF: 0000042887,False,brooklyn,,,
Q022,P.S. 22 - QUEENS,DOE- RESOA,FY16 RESO A TOILETS - STUDENTS,Construction,2016-07-20,,150000.0,120619.0,120619.0,DSF: 0000822781,False,queens,20.0,29381.0,
Q022,P.S. 22 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-08,,,170000.0,2003.0,DSF: 0000866016,False,queens,,,
Q023,QUEENS ACADEMY HIGH SCHOOL - Q,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,2017-12-15,2018-06-13,20820.0,18366.0,9817.0,DSF: 0000844826,False,queens,53.0,11003.0,180.0
Q023,QUEENS ACADEMY HIGH SCHOOL - Q,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,25707.0,0.0,DSF: 0000777169,True,queens,,,190.0
Q023,QUEENS ACADEMY HIGH SCHOOL - Q,DOE - Skilled Trades,BROKEN SEWER MAIN,Construction,2016-10-28,,,90882.0,0.0,DSF: 0000855333,True,queens,,,
Q024,P.S. 24 - QUEENS,SCA Capacity,ADDITION,Construction,2016-07-26,2019-09-18,92510022.0,84913231.0,21915106.0,DSF: 0000798203,False,queens,76.0,70594916.0,1149.0
Q024,P.S. 24 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",2016-07-26,2019-09-18,13027258.0,6315695.0,2015336.0,DSF: 0000798203,False,queens,85.0,11011922.0,1149.0
Q025,J.H.S. 25 - QUEENS,DOE- RESOA,FY16 RESO A CAFETERIA/MULTIPURPOSE ROOM UPGRADE,Construction,2016-08-31,,50000.0,75855.0,75855.0,DSF: 0000822853,False,queens,-52.0,-25855.0,
Q025,J.H.S. 25 - QUEENS,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,2017-04-12,,,45930.0,45930.0,DSF: 0000865900,False,queens,,,
Q025,J.H.S. 25 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-08,,,170000.0,1905.0,DSF: 0000866017,False,queens,,,
Q029,P.S. 29 - QUEENS,SCA CIP,FLOOD ELIMINATION/ROOFS,Scope,2017-12-18,2018-05-04,46503.0,46503.0,0.0,"DSF: 0000877975, 0000877976",True,queens,100.0,46503.0,137.0
Q029,P.S. 29 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,2017-06-29,2017-12-25,346500.0,318903.0,828.0,DSF: 0000822856,True,queens,100.0,345672.0,179.0
Q029,P.S. 29 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",2017-06-29,2017-12-25,23625.0,28708.0,7070.0,DSF: 0000822856,True,queens,70.0,16555.0,179.0
Q029,P.S. 29 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-06-05,2018-01-15,35000.0,34738.0,34738.0,DSF: 0000844476,False,queens,1.0,262.0,224.0
Q032,P.S. 32 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-10-01,,,70830.0,70830.0,DSF: 0000811427,False,queens,,,
Q079,P.S. 79 - QUEENS,SCA CIP,C OF O/FIRE ALARM,Design,2017-09-18,2018-04-23,495862.0,495862.0,19950.0,"DSF: 0000823601, 0000856162",False,queens,96.0,475912.0,217.0
Q079,P.S. 79 - QUEENS,SCA CIP,EXTERIOR MASONRY/TCU REMOVAL PLAYGROUND REDEVELOP,Design,2017-10-26,2018-04-26,497777.0,497777.0,213309.0,"DSF: 0000856168, 0000866283",False,queens,56.99999999999999,284468.0,182.0
Q079,P.S. 79 - QUEENS,DOE- RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,2017-07-27,,200000.0,200000.0,52156.0,DSF: 0000844953,False,queens,74.0,147844.0,
Q129,P.S. 129 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-10-01,,,108650.0,108650.0,DSF: 0000823644,False,queens,,,
Q163,P.S. 163 - QUEENS,SCA Capacity,ADDITION,Construction,2014-05-16,2017-05-04,49313250.0,48906555.0,44983687.0,DSF: 0000752885,False,queens,9.0,4329563.0,1084.0
Q163,P.S. 163 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",2014-05-16,2017-05-04,6455930.0,7798926.0,6747967.0,DSF: 0000752885,False,queens,-5.0,-292037.0,1084.0
Q164,P.S. 164 - QUEENS,DOE- RESOA,FY 15 RESO A ACCESSIBILITY,Construction,2017-06-30,,268694.0,105965.0,105965.0,DSF: 0000821681,False,queens,61.0,162729.0,
Q164,P.S. 164 - QUEENS,DOE- RESOA,FY17 RESO A ART ROOM UPGRADE,Construction,2017-07-27,,80000.0,95792.0,95792.0,DSF: 0000844996,False,queens,-20.0,-15792.0,
Q164,P.S. 164 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-10-01,,,107188.0,107188.0,DSF: 0000813581,False,queens,,,
Q168,THE QUEENS SCHOOL OF INQUIRY-Q,DOE - Skilled Trades,SEWAGE EJECTOR CUTTER PUMP REPLACEMENT,Construction,2017-03-03,,,56911.0,0.0,DSF: 0000857661,True,queens,,,
Q168,I.S. 250 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,2016-12-01,2018-03-31,50000.0,50000.0,0.0,DSF: 0000844968,False,queens,100.0,50000.0,485.0
Q169,P.S. 169 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,2017-05-15,2018-05-14,352000.0,274543.0,2214.0,DSF: 0000822855,False,queens,99.0,349786.0,364.0
Q169,P.S. 169 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",2017-05-15,2018-05-14,24000.0,25873.0,5149.0,DSF: 0000822855,False,queens,79.0,18851.0,364.0
Q169,P.S. 169 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-11,,,170000.0,1589.0,DSF: 0000866040,False,queens,,,
Q184,P.S. 184 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,2016-10-11,2018-04-03,6335775.0,5760518.0,3974375.0,"DSF: 0000790584, 0000798371",False,queens,37.0,2361400.0,539.0
Q184,P.S. 184 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",2016-10-11,2018-04-03,394226.0,328313.0,304846.0,"DSF: 0000790584, 0000798371",False,queens,23.0,89380.0,539.0
Q185,J.H.S. 185 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEMS,Design,2017-11-29,2018-05-25,32856.0,32856.0,3662.0,DSF: 0000867045,False,queens,89.0,29194.0,177.0
Q189,THE FLUSHING INTERNATIONAL HS,DOE - Skilled Trades,ACE- STEAM SYSTEM UPGRADE,Construction,2015-10-06,,,177407.0,177407.0,DSF: 0000799827,False,queens,,,
Q189,J.H.S. 189 - QUEENS,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,2017-08-15,2018-09-15,360000.0,360000.0,200000.0,DSF: 0000844821,False,queens,44.0,160000.0,396.0
K170,P.S. 170 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,559710.0,0.0,DSF: 0000776780,True,brooklyn,,,190.0
K179,P.S. 179 - BROOKLYN,SCA IEH,"IEH PO18-RMS 206,403A,403B",Construction,2017-06-20,,,81816.0,6928.0,DSF: 0000047387,False,brooklyn,,,
K180,P.S. 180 - BROOKLYN,SCA IEH,IEH PO18-ROOM 310,Construction,2016-04-05,,,5522.0,522.0,DSF: 0000040729,False,brooklyn,,,
K180,P.S. 180 - BROOKLYN,SCA IEH,IEH PO18-1ST FL CAFETERIA,Construction,2017-06-14,,,293885.0,1056.0,DSF: 0000047311,False,brooklyn,,,
K180,P.S. 180 - BROOKLYN,DOE- RESOA,FY16 RESO A GYMNASIUM UPGRADE,Construction,2017-06-28,,95271.0,95271.0,84703.0,DSF: 0000822916,False,brooklyn,11.0,10568.0,
K185,P.S. 185 - BROOKLYN,SCA IEH,IEH PO18-KITCHEN BY SINK,Construction,2017-04-06,,,4200.0,0.0,DSF: 0000046167,True,brooklyn,,,
K185,P.S. 185 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,263957.0,0.0,DSF: 0000776795,True,brooklyn,,,190.0
K185,P.S. 185 - BROOKLYN,DOE - Skilled Trades,REPLACE BOILER FEED WATER TANK,Construction,2016-07-26,,,41941.0,4190.0,DSF: 0000848194,False,brooklyn,,,
K192,P.S. 192 - BROOKLYN,SCA CIP,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,Construction,2015-11-19,2017-05-11,6091620.0,7246239.0,5386016.0,"DSF: 0000780632, 0000780634, 0000780635, 0000800109",False,brooklyn,12.0,705604.0,539.0
K192,P.S. 192 - BROOKLYN,SCA CIP,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,"CM, F&E",2015-11-19,2017-05-11,533313.0,728410.0,672952.0,"DSF: 0000780632, 0000780634, 0000780635, 0000800109",False,brooklyn,-26.0,-139639.0,539.0
K200,P.S. 200 - BROOKLYN,SCA CIP,PARAPETS/ROOFS/EXT MASONRY,Design,2017-10-11,2018-03-16,417759.0,417759.0,217585.0,"DSF: 0000044952, 0000848463, 0000868163",True,brooklyn,48.0,200174.0,156.0
K200,P.S. 200 - BROOKLYN,SCA IEH,IEH PO18-RM 117,Construction,2017-08-09,,,41483.0,1976.0,DSF: 0000048071,False,brooklyn,,,
K200,P.S. 200 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,29437.0,0.0,DSF: 0000776809,True,brooklyn,,,190.0
K201,I.S. 201 - BROOKLYN,SCA CIP,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,Construction,2014-03-25,2015-11-14,23588364.0,26150722.0,21981472.0,"DSF: 0000735418, 0000735420, 0000735421, 0000758297, 0000758299",False,brooklyn,7.000000000000001,1606892.0,599.0
K201,I.S. 201 - BROOKLYN,SCA CIP,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,"CM, F&E",2014-03-25,2015-11-14,1662617.0,1636492.0,1488776.0,"DSF: 0000735418, 0000735420, 0000735421, 0000758297, 0000758299",False,brooklyn,10.0,173841.0,599.0
K201,I.S. 201 - BROOKLYN,SCA IEH,"IEH PO18-2ND FL HALLWAY,2ND FL STAIRCASE LANDINGS",Construction,2017-06-20,,,10838.0,1338.0,DSF: 0000047391,False,brooklyn,,,
K201,I.S. 201 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,52048.0,0.0,DSF: 0000776810,True,brooklyn,,,190.0
K205,P.S. 205 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/PARAPETS,Scope,2017-12-18,2018-05-04,43870.0,43870.0,0.0,"DSF: 0000871241, 0000871243",True,brooklyn,100.0,43870.0,137.0
K205,P.S. 205 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,2017-11-16,,,500.0,0.0,DSF:,True,brooklyn,,,
K220,I.S. 220 - BROOKLYN,SCA IEH,"IEH PO18-ROOMS 559,452,312,305,551,258",Construction,2016-12-15,,,71238.0,2467.0,DSF: 0000044527,False,brooklyn,,,
K220,I.S. 220 - BROOKLYN,SCA IEH,"IEH PO18-4TH FL RMS 460,419,417,415,  1ST FL RM 11",Construction,2017-10-25,,,97198.0,3114.0,DSF: 0000049065,False,brooklyn,,,
K220,I.S. 220 - BROOKLYN,DOE - Skilled Trades,REPLACE BOILER WATER TANKS/PUMPS,Construction,2017-07-03,,,54115.0,54115.0,DSF: 0000848820,False,brooklyn,,,
K223,URBN ASSY SCHL CRIM JUSTICE,SCA CIP,SCIENCE LAB UPGRADE,Construction,2017-11-06,2018-11-05,1370250.0,1285281.0,28401.0,DSF: 0000758723,False,brooklyn,98.0,1341849.0,364.0
K223,URBN ASSY SCHL CRIM JUSTICE,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",2017-11-06,2018-11-05,85260.0,40363.0,40157.0,DSF: 0000758723,False,brooklyn,53.0,45103.0,364.0
K223,I.S. 223 - BROOKLYN,DOE - Skilled Trades,REPLACE PNEUMATICALLY OPERATED SEWER EJECTOR PUMP,Construction,2016-11-17,,,157894.0,7882.0,DSF: 0000848892,False,brooklyn,,,
K227,I.S. 227 - BROOKLYN,SCA CIP,WATER PENETRATION/ROOFS/EXT MASONRY/PARAPETS,Design,2017-07-10,2017-12-11,343740.0,343740.0,87930.0,"DSF: 0000848965, 0000848968, 0000848969, 0000848971",True,brooklyn,74.0,255810.0,154.0
K227,I.S. 227 - BROOKLYN,SCA IEH,"IEH PO18-RMS 227A,415,323A,321",Construction,2017-06-06,,,72460.0,10174.0,DSF: 0000047187,False,brooklyn,,,
K227,I.S. 227 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,29171.0,0.0,DSF: 0000776836,True,brooklyn,,,190.0
K247,P.S. 247 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-08-30,,,170000.0,1710.0,DSF: 0000865977,False,brooklyn,,,
K259,I.S. 259 - BROOKLYN,SCA CIP,CRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,Construction,2016-06-13,2018-06-02,12134250.0,11175040.0,9589367.0,"DSF: 0000781917, 0000805209, 0000821683",False,brooklyn,21.0,2544883.0,719.0
K259,I.S. 259 - BROOKLYN,SCA CIP,CRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,"CM, F&E",2016-06-13,2018-06-02,755020.0,454362.0,452490.0,"DSF: 0000781917, 0000805209, 0000821683",False,brooklyn,40.0,302530.0,719.0
K259,I.S. 259 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,Construction,2017-10-25,2019-04-17,7602751.0,6970267.0,17413.0,"DSF: 0000798278, 0000798281",False,brooklyn,100.0,7585338.0,539.0
K259,I.S. 259 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,"CM, F&E",2017-10-25,2019-04-17,473060.0,24913.0,24913.0,"DSF: 0000798278, 0000798281",False,brooklyn,95.0,448147.0,539.0
K259,I.S. 259 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,2017-07-24,,,33135.0,33135.0,DSF: 0000865890,False,brooklyn,,,
K310,P.S. 310 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,189121.0,0.0,DSF: 0000776915,True,brooklyn,,,190.0
K314,P.S. 503 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Construction,2017-06-26,2018-12-17,5623118.0,5144739.0,130761.0,"DSF: 0000782731, 0000798566, 0000801066",False,brooklyn,98.0,5492357.0,539.0
K314,P.S. 503 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,"CM, F&E",2017-06-26,2018-12-17,507239.0,41145.0,41145.0,"DSF: 0000782731, 0000798566, 0000801066",False,brooklyn,92.0,466094.0,539.0
K314,P.S. 506 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,160686.0,0.0,DSF: 0000776918,True,brooklyn,,,190.0
K314,P.S. 503 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,160686.0,0.0,DSF: 0000776917,True,brooklyn,,,190.0
K314,P.S. 503 - BROOKLYN,DOE - Skilled Trades,ACE- STEAM SYSTEM UPGRADE,Construction,2016-08-03,,,196686.0,108330.0,DSF: 0000799803,False,brooklyn,,,
K314,P.S. 503 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,2017-03-19,,,61881.0,24543.0,DSF: 0000844724,False,brooklyn,,,
K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,WATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,Construction,2017-05-15,2018-11-05,9903375.0,9050651.0,526361.0,"DSF: 0000775948, 0000783448",False,brooklyn,95.0,9377014.0,539.0
K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,WATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,"CM, F&E",2017-05-15,2018-11-05,616210.0,74953.0,74012.0,"DSF: 0000775948, 0000783448",False,brooklyn,88.0,542198.0,539.0
Q193,P.S. 193 - QUEENS,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,2017-06-07,2017-11-07,30000.0,17513.0,6296.0,DSF: 0000844954,True,queens,79.0,23704.0,153.0
Q194,J.H.S. 194 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,2017-02-03,2019-02-02,7644376.0,7061531.0,3621328.0,"DSF: 0000790753, 0000798297",False,queens,53.0,4023048.0,729.0
Q194,J.H.S. 194 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",2017-02-03,2019-02-02,475650.0,264378.0,204575.0,"DSF: 0000790753, 0000798297",False,queens,56.99999999999999,271075.0,729.0
Q194,J.H.S. 194 - QUEENS,SCA IEH,"IEH PO18-ROOMS B13, B15, B27",Construction,2017-10-19,,,303721.0,4316.0,DSF: 0000049028,False,queens,,,
Q194,J.H.S. 194 - QUEENS,SCA IEH,"IEH PO18-CLASSROOM # 102, 104, 105, 108,  109, 114",Construction,2017-11-06,,,1774.0,1274.0,DSF: 0000049250,False,queens,,,
Q194,J.H.S. 194 WILLIAM CARR,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-12-14,2018-01-13,35000.0,34735.0,34735.0,DSF: 0000844460,True,queens,1.0,265.0,30.0
Q201,P.S. 201 - QUEENS,DOE- RESOA,FY 15 RESO A ACCESSIBILITY,Construction,2016-07-06,,106306.0,89856.0,89856.0,DSF: 0000822207,False,queens,15.0,16450.0,
Q209,P.S. 209 CLEARVIEW GARDENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-12-07,2018-01-15,35000.0,34733.0,34733.0,DSF: 0000844530,False,queens,1.0,267.0,39.0
Q209,P.S. 209 CLEARVIEW GARDENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-12-07,2018-01-15,35000.0,34738.0,34738.0,DSF: 0000845456,True,queens,1.0,262.0,39.0
Q214,P.S. 214 - QUEENS,SCA CIP,PARAPETS/FLOOD/EXT MASONRY/ROOFS,Construction,2017-02-13,2018-08-06,7694565.0,7003151.0,4547810.0,"DSF: 0000745395, 0000812865, 0000814327, 0000814328",False,queens,41.0,3146755.0,539.0
Q214,P.S. 214 - QUEENS,SCA CIP,PARAPETS/FLOOD/EXT MASONRY/ROOFS,"CM, F&E",2017-02-13,2018-08-06,776589.0,158809.0,137487.0,"DSF: 0000745395, 0000812865, 0000814327, 0000814328",False,queens,82.0,639102.0,539.0
Q214,P.S. 214 - QUEENS,SCA CIP RESOA,FY17 RESO A LOW VOLTAGE ELECTRICAL SYSTEMS,Design,2017-09-06,2018-02-09,6000.0,3213.0,3213.0,DSF: 0000844824,True,queens,46.0,2787.0,156.0
Q214,P.S. 214 - QUEENS,DOE- RESOA,FY16 RESO A FENCING,Construction,2017-07-10,,55213.0,53247.0,53247.0,DSF: 0000822780,False,queens,4.0,1966.0,
Q219,P.S. 219 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL/KITCHEN UPGRADE,Construction,2017-08-02,2018-08-01,2087286.0,1960557.0,869411.0,"DSF: 0000745480, 0000799467",False,queens,57.99999999999999,1217875.0,364.0
Q219,P.S. 219 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL/KITCHEN UPGRADE,"CM, F&E",2017-08-02,2018-08-01,198565.0,100820.0,77114.0,"DSF: 0000745480, 0000799467",False,queens,61.0,121451.0,364.0
Q219,P.S. 219 - QUEENS,SCA CIP,ROOFS,Scope,2017-12-19,2018-05-07,78029.0,78029.0,347.0,DSF: 0000880952,True,queens,100.0,77682.0,139.0
Q336,I.S./H.S. 336 - QUEENS,SCA Lease Site Impro,LEASE,Construction,2016-07-18,2018-01-08,22425414.0,22672358.0,20482435.0,DSF: 0000798226,False,queens,9.0,1942979.0,539.0
Q336,I.S./H.S. 336 - QUEENS,SCA Lease Site Impro,LEASE,"CM, F&E",2016-07-18,2018-01-08,3157946.0,2162381.0,1185442.0,DSF: 0000798226,False,queens,62.0,1972504.0,539.0
Q425,JOHN BOWNE HS - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,2017-10-18,2018-04-17,47481.0,47481.0,14614.0,DSF: 0000867058,False,queens,69.0,32867.0,181.0
Q425,JOHN BOWNE HS - QUEENS,SCA CIP,EXTERIOR MASONRY,Scope,2017-12-18,2018-05-04,82803.0,82803.0,0.0,DSF: 0000881278,True,queens,100.0,82803.0,137.0
Q425,JOHN BOWNE HS - QUEENS,DOE- RESOA,FY16 RESO A GYMNASIUM UPGRADE,Construction,2016-01-29,,142067.0,142067.0,142067.0,DSF: 0000822784,False,queens,0.0,0.0,
Q460,FLUSHING HS - QUEENS,SCA CIP,PARAPETS/EXTERIOR MASONRY,Scope,2017-12-18,2018-05-04,201422.0,201422.0,1.0,"DSF: 0000881482, 0000881483",True,queens,100.0,201421.0,137.0
